# x_range         kde_values
    0.886366     1.333241
    0.888193     1.551770
    0.890020     1.796472
    0.891847     2.068481
    0.893673     2.368592
    0.895500     2.697200
    0.897327     3.054240
    0.899153     3.439139
    0.900980     3.850778
    0.902807     4.287457
    0.904634     4.746882
    0.906460     5.226157
    0.908287     5.721792
    0.910114     6.229727
    0.911940     6.745373
    0.913767     7.263664
    0.915594     7.779132
    0.917421     8.286004
    0.919247     8.778307
    0.921074     9.250004
    0.922901     9.695134
    0.924727    10.107973
    0.926554    10.483197
    0.928381    10.816047
    0.930208    11.102487
    0.932034    11.339341
    0.933861    11.524414
    0.935688    11.656567
    0.937514    11.735765
    0.939341    11.763069
    0.941168    11.740585
    0.942995    11.671371
    0.944821    11.559290
    0.946648    11.408839
    0.948475    11.224945
    0.950301    11.012749
    0.952128    10.777387
    0.953955    10.523783
    0.955782    10.256468
    0.957608     9.979429
    0.959435     9.696004
    0.961262     9.408826
    0.963088     9.119809
    0.964915     8.830190
    0.966742     8.540610
    0.968568     8.251226
    0.970395     7.961850
    0.972222     7.672097
    0.974049     7.381533
    0.975875     7.089810
    0.977702     6.796780
    0.979529     6.502576
    0.981355     6.207661
    0.983182     5.912842
    0.985009     5.619244
    0.986836     5.328257
    0.988662     5.041460
    0.990489     4.760529
    0.992316     4.487137
    0.994142     4.222859
    0.995969     3.969085
    0.997796     3.726948
    0.999623     3.497281
    1.001449     3.280587
    1.003276     3.077036
    1.005103     2.886486
    1.006929     2.708516
    1.008756     2.542478
    1.010583     2.387550
    1.012410     2.242801
    1.014236     2.107246
    1.016063     1.979901
    1.017890     1.859829
    1.019716     1.746176
    1.021543     1.638197
    1.023370     1.535275
    1.025197     1.436923
    1.027023     1.342785
    1.028850     1.252631
    1.030677     1.166341
    1.032503     1.083892
    1.034330     1.005334
    1.036157     0.930778
    1.037984     0.860370
    1.039810     0.794271
    1.041637     0.732644
    1.043464     0.675628
    1.045290     0.623329
    1.047117     0.575806
    1.048944     0.533057
    1.050770     0.495018
    1.052597     0.461555
    1.054424     0.432467
    1.056251     0.407490
    1.058077     0.386301
    1.059904     0.368532
    1.061731     0.353780
    1.063557     0.341618
    1.065384     0.331613
    1.067211     0.323336
    1.069038     0.316380
    1.070864     0.310368
    1.072691     0.304964
    1.074518     0.299882
    1.076344     0.294892
    1.078171     0.289823
    1.079998     0.284566
    1.081825     0.279070
    1.083651     0.273340
    1.085478     0.267431
    1.087305     0.261440
    1.089131     0.255497
    1.090958     0.249752
    1.092785     0.244367
    1.094612     0.239500
    1.096438     0.235296
    1.098265     0.231878
    1.100092     0.229335
    1.101918     0.227719
    1.103745     0.227042
    1.105572     0.227272
    1.107399     0.228339
    1.109225     0.230141
    1.111052     0.232545
    1.112879     0.235401
    1.114705     0.238548
    1.116532     0.241824
    1.118359     0.245069
    1.120186     0.248139
    1.122012     0.250905
    1.123839     0.253258
    1.125666     0.255113
    1.127492     0.256407
    1.129319     0.257100
    1.131146     0.257176
    1.132972     0.256639
    1.134799     0.255514
    1.136626     0.253845
    1.138453     0.251690
    1.140279     0.249125
    1.142106     0.246235
    1.143933     0.243112
    1.145759     0.239850
    1.147586     0.236537
    1.149413     0.233253
    1.151240     0.230059
    1.153066     0.226995
    1.154893     0.224072
    1.156720     0.221272
    1.158546     0.218549
    1.160373     0.215829
    1.162200     0.213016
    1.164027     0.210002
    1.165853     0.206679
    1.167680     0.202945
    1.169507     0.198721
    1.171333     0.193962
    1.173160     0.188664
    1.174987     0.182875
    1.176814     0.176692
    1.178640     0.170271
    1.180467     0.163815
    1.182294     0.157567
    1.184120     0.151806
    1.185947     0.146827
    1.187774     0.142928
    1.189601     0.140393
    1.191427     0.139482
    1.193254     0.140408
    1.195081     0.143330
    1.196907     0.148343
    1.198734     0.155468
    1.200561     0.164649
    1.202388     0.175755
    1.204214     0.188584
    1.206041     0.202867
    1.207868     0.218280
    1.209694     0.234457
    1.211521     0.251005
    1.213348     0.267517
    1.215174     0.283589
    1.217001     0.298838
    1.218828     0.312909
    1.220655     0.325494
    1.222481     0.336333
    1.224308     0.345225
    1.226135     0.352029
    1.227961     0.356659
    1.229788     0.359086
    1.231615     0.359329
    1.233442     0.357446
    1.235268     0.353528
    1.237095     0.347692
    1.238922     0.340070
    1.240748     0.330805
    1.242575     0.320049
    1.244402     0.307953
    1.246229     0.294674
    1.248055     0.280370
    1.249882     0.265201
