#  x                Binder_Cumulant
  200.000000     0.659563
  201.000000     0.659320
  202.000000     0.656458
  203.000000     0.662358
  204.000000     0.630784
  205.000000     0.654692
  206.000000     0.659961
  207.000000     0.658056
  208.000000     0.659050
  209.000000     0.659212
  210.000000     0.646446
  211.000000     0.661924
  212.000000     0.660673
  213.000000     0.657211
  214.000000     0.655966
  215.000000     0.656925
  216.000000     0.660644
  217.000000    -4.514970
  218.000000    -5.009646
  219.000000     0.661503
  220.000000    -6.061358
  221.000000   -10.995198
  222.000000    -5.549198
  223.000000   -35.974452
  224.000000    -4.069002
  225.000000   -18.865529
  226.000000   -20.132473
  227.000000   -26.557997
  228.000000    -6.175920
  229.000000    -7.604423
  230.000000    -3.684923
  231.000000    -3.282375
  232.000000    -1.280729
  233.000000    -1.195769
  234.000000    -0.754485
  235.000000    -0.948278
  236.000000    -0.228214
  237.000000    -0.120413
  238.000000     0.021543
  239.000000     0.031016
  240.000000     0.256780
  241.000000     0.336886
  242.000000     0.380183
  243.000000     0.436061
  244.000000     0.433378
  245.000000     0.443603
  246.000000     0.479564
  247.000000     0.513417
  248.000000     0.571332
  249.000000     0.567969
  250.000000     0.570530
