# x_range         kde_values
   14.934510     0.000113
   17.149731     0.000115
   19.364951     0.000116
   21.580172     0.000117
   23.795392     0.000118
   26.010613     0.000118
   28.225833     0.000119
   30.441054     0.000120
   32.656274     0.000122
   34.871495     0.000124
   37.086716     0.000127
   39.301936     0.000131
   41.517157     0.000135
   43.732377     0.000141
   45.947598     0.000148
   48.162818     0.000157
   50.378039     0.000166
   52.593259     0.000178
   54.808480     0.000190
   57.023701     0.000204
   59.238921     0.000220
   61.454142     0.000236
   63.669362     0.000254
   65.884583     0.000274
   68.099803     0.000294
   70.315024     0.000315
   72.530244     0.000337
   74.745465     0.000360
   76.960685     0.000384
   79.175906     0.000409
   81.391127     0.000435
   83.606347     0.000461
   85.821568     0.000488
   88.036788     0.000515
   90.252009     0.000544
   92.467229     0.000573
   94.682450     0.000603
   96.897670     0.000634
   99.112891     0.000665
  101.328112     0.000697
  103.543332     0.000731
  105.758553     0.000765
  107.973773     0.000799
  110.188994     0.000835
  112.404214     0.000871
  114.619435     0.000909
  116.834655     0.000947
  119.049876     0.000986
  121.265097     0.001026
  123.480317     0.001067
  125.695538     0.001109
  127.910758     0.001152
  130.125979     0.001196
  132.341199     0.001241
  134.556420     0.001288
  136.771640     0.001336
  138.986861     0.001386
  141.202082     0.001437
  143.417302     0.001489
  145.632523     0.001544
  147.847743     0.001599
  150.062964     0.001657
  152.278184     0.001716
  154.493405     0.001776
  156.708625     0.001838
  158.923846     0.001901
  161.139066     0.001965
  163.354287     0.002030
  165.569508     0.002095
  167.784728     0.002160
  169.999949     0.002225
  172.215169     0.002290
  174.430390     0.002353
  176.645610     0.002416
  178.860831     0.002477
  181.076051     0.002536
  183.291272     0.002592
  185.506493     0.002647
  187.721713     0.002699
  189.936934     0.002748
  192.152154     0.002795
  194.367375     0.002839
  196.582595     0.002880
  198.797816     0.002919
  201.013036     0.002955
  203.228257     0.002990
  205.443478     0.003023
  207.658698     0.003054
  209.873919     0.003085
  212.089139     0.003115
  214.304360     0.003144
  216.519580     0.003174
  218.734801     0.003203
  220.950021     0.003233
  223.165242     0.003264
  225.380463     0.003296
  227.595683     0.003329
  229.810904     0.003364
  232.026124     0.003399
  234.241345     0.003436
  236.456565     0.003474
  238.671786     0.003513
  240.887006     0.003554
  243.102227     0.003595
  245.317447     0.003638
  247.532668     0.003682
  249.747889     0.003727
  251.963109     0.003773
  254.178330     0.003820
  256.393550     0.003867
  258.608771     0.003915
  260.823991     0.003964
  263.039212     0.004012
  265.254432     0.004060
  267.469653     0.004108
  269.684874     0.004155
  271.900094     0.004202
  274.115315     0.004246
  276.330535     0.004289
  278.545756     0.004330
  280.760976     0.004368
  282.976197     0.004403
  285.191417     0.004435
  287.406638     0.004463
  289.621859     0.004487
  291.837079     0.004506
  294.052300     0.004520
  296.267520     0.004529
  298.482741     0.004534
  300.697961     0.004533
  302.913182     0.004527
  305.128402     0.004516
  307.343623     0.004500
  309.558844     0.004479
  311.774064     0.004454
  313.989285     0.004425
  316.204505     0.004392
  318.419726     0.004356
  320.634946     0.004316
  322.850167     0.004273
  325.065387     0.004228
  327.280608     0.004181
  329.495828     0.004132
  331.711049     0.004080
  333.926270     0.004028
  336.141490     0.003974
  338.356711     0.003918
  340.571931     0.003861
  342.787152     0.003804
  345.002372     0.003744
  347.217593     0.003684
  349.432813     0.003623
  351.648034     0.003561
  353.863255     0.003497
  356.078475     0.003433
  358.293696     0.003367
  360.508916     0.003301
  362.724137     0.003234
  364.939357     0.003166
  367.154578     0.003097
  369.369798     0.003028
  371.585019     0.002958
  373.800240     0.002888
  376.015460     0.002817
  378.230681     0.002745
  380.445901     0.002673
  382.661122     0.002600
  384.876342     0.002527
  387.091563     0.002453
  389.306783     0.002379
  391.522004     0.002304
  393.737225     0.002229
  395.952445     0.002153
  398.167666     0.002077
  400.382886     0.002000
  402.598107     0.001924
  404.813327     0.001847
  407.028548     0.001770
  409.243768     0.001694
  411.458989     0.001618
  413.674209     0.001543
  415.889430     0.001469
  418.104651     0.001396
  420.319871     0.001325
  422.535092     0.001255
  424.750312     0.001187
  426.965533     0.001121
  429.180753     0.001056
  431.395974     0.000994
  433.611194     0.000934
  435.826415     0.000877
  438.041636     0.000821
  440.256856     0.000768
  442.472077     0.000717
  444.687297     0.000668
  446.902518     0.000621
  449.117738     0.000576
  451.332959     0.000534
  453.548179     0.000493
  455.763400     0.000454
