fraction_c   (sigma_c)^2/N_c      (sigma_r)^2/N_r      (sigma_all)^2/N_all  deta_r               deta_r - 1           pearson             
0.51         1.5959142E+00        1.6821522E+00        3.6635715E-03        2.3412222E-03        -9.9765878E-01       -9.9764257E-01      
0.52         1.6098575E+00        1.7648595E+00        3.6355333E-03        2.2689824E-03        -9.9773102E-01       -9.9771610E-01      
0.53         1.6862927E+00        1.9230018E+00        3.5362528E-03        2.0394907E-03        -9.9796051E-01       -9.9794693E-01      
0.54         1.7219593E+00        2.0425043E+00        3.5035482E-03        1.9719995E-03        -9.9802800E-01       -9.9801573E-01      
0.55         1.7369688E+00        2.1446535E+00        3.3937112E-03        1.8581970E-03        -9.9814180E-01       -9.9812983E-01      
0.56         1.8212296E+00        2.3396089E+00        3.3492410E-03        1.6977199E-03        -9.9830228E-01       -9.9829177E-01      
0.57         1.8152599E+00        2.4281975E+00        3.2757825E-03        1.6515453E-03        -9.9834845E-01       -9.9833829E-01      
0.58         1.8498291E+00        2.5761072E+00        3.2478986E-03        1.5741367E-03        -9.9842586E-01       -9.9841674E-01      
0.59         1.8358754E+00        2.6638588E+00        3.1528035E-03        1.5123435E-03        -9.9848766E-01       -9.9847879E-01      
0.60         1.8975341E+00        2.8681785E+00        3.0892426E-03        1.4228461E-03        -9.9857715E-01       -9.9856914E-01      
0.61         1.9204872E+00        3.0260219E+00        3.0612628E-03        1.3632004E-03        -9.9863680E-01       -9.9862931E-01      
0.62         1.9423164E+00        3.1911074E+00        2.9858972E-03        1.2868593E-03        -9.9871314E-01       -9.9870628E-01      
0.63         1.9704529E+00        3.3773147E+00        2.8969608E-03        1.2172676E-03        -9.9878273E-01       -9.9877635E-01      
0.64         2.0404175E+00        3.6499296E+00        2.8251480E-03        1.1410636E-03        -9.9885894E-01       -9.9885301E-01      
0.65         2.0133214E+00        3.7607275E+00        2.8130937E-03        1.1172723E-03        -9.9888273E-01       -9.9887752E-01      
0.66         2.0365302E+00        3.9750196E+00        2.7288049E-03        1.0523535E-03        -9.9894765E-01       -9.9894281E-01      
0.67         2.1106174E+00        4.3068628E+00        2.6210663E-03        9.6769127E-04        -9.9903231E-01       -9.9902802E-01      
0.68         2.1385600E+00        4.5649880E+00        2.6569496E-03        9.5776731E-04        -9.9904223E-01       -9.9903863E-01      
0.69         2.1617066E+00        4.8316749E+00        2.5612712E-03        8.9209302E-04        -9.9910791E-01       -9.9910475E-01      
0.70         2.2039998E+00        5.1622262E+00        2.5026635E-03        8.3317426E-04        -9.9916683E-01       -9.9916418E-01      
0.71         2.2496025E+00        5.5268201E+00        2.3880848E-03        7.8127240E-04        -9.9921873E-01       -9.9921638E-01      
0.72         2.1930503E+00        5.6576709E+00        2.3833052E-03        7.8359507E-04        -9.9921640E-01       -9.9921435E-01      
0.73         2.2599466E+00        6.1252452E+00        2.3221632E-03        7.3563762E-04        -9.9926436E-01       -9.9926320E-01      
0.74         2.3331236E+00        6.6397673E+00        6.2346489E-03        1.6306591E-03        -9.9836934E-01       -9.9836972E-01      
0.75         2.2933930E+00        6.8478244E+00        1.3083293E-02        3.3627912E-03        -9.9663721E-01       -9.9664010E-01      
0.76         2.1129582E+00        6.5601632E+00        4.0610229E-02        1.2668664E-02        -9.8733134E-01       -9.8734127E-01      
0.77         2.0939269E+00        6.7614454E+00        7.0731039E-02        2.2148175E-02        -9.7785182E-01       -9.7786758E-01      
0.78         1.9965644E+00        6.5458607E+00        1.3523770E-01        4.4344844E-02        -9.5565516E-01       -9.5568797E-01      
0.79         1.8654246E+00        5.9889076E+00        2.4963976E-01        8.6192825E-02        -9.1380717E-01       -9.1386595E-01      
0.80         1.8235525E+00        5.5561028E+00        4.0420617E-01        1.4821639E-01        -8.5178361E-01       -8.5187598E-01      
0.81         1.8064704E+00        4.8709257E+00        6.1594211E-01        2.3527377E-01        -7.6472623E-01       -7.6486865E-01      
0.82         1.7886837E+00        4.4807671E+00        7.2687265E-01        2.8247506E-01        -7.1752494E-01       -7.1771413E-01      
0.83         1.7763574E+00        4.0076845E+00        8.7460907E-01        3.5967280E-01        -6.4032720E-01       -6.4055109E-01      
